Row Labels,Sum of TotalSales
 4 PURPLE FLOCK DINNER CANDLES,5.1
 SET 2 TEA TOWELS I LOVE LONDON ,147.52
10 COLOUR SPACEBOY PEN,156.36
12 COLOURED PARTY BALLOONS,6.5
12 DAISY PEGS IN WOOD BOX,13.2
12 IVORY ROSE PEG PLACE SETTINGS,2.51
12 MESSAGE CARDS WITH ENVELOPES,24.93
12 PENCIL SMALL TUBE WOODLAND,80.28
12 PENCILS SMALL TUBE RED RETROSPOT,99.07
12 PENCILS SMALL TUBE SKULL,87.51
12 PENCILS TALL TUBE POSY,1.7
12 PENCILS TALL TUBE RED RETROSPOT,10.2
12 PENCILS TALL TUBE SKULLS,20.4
12 PENCILS TALL TUBE WOODLAND,4.21
15CM CHRISTMAS GLASS BALL 20 LIGHTS,41.91
20 DOLLY PEGS RETROSPOT,45
200 BENDY SKULL STRAWS,16.25
200 RED + WHITE BENDY STRAWS,16.25
3 GARDENIA MORRIS BOXED CANDLES,4.25
3 HOOK HANGER MAGIC GARDEN,15.6
3 HOOK PHOTO SHELF ANTIQUE WHITE,25.5
3 PIECE SPACEBOY COOKIE CUTTER SET,86.1
3 STRIPEY MICE FELTCRAFT,40.95
3 TIER CAKE TIN GREEN AND CREAM,44.85
3 TIER CAKE TIN RED AND CREAM,44.85
3 TRADITIONAl BISCUIT CUTTERS  SET,25.2
3 TRADITIONAL COOKIE CUTTERS  SET,25.2
36 DOILIES DOLLY GIRL,2.98
36 FOIL HEART CAKE CASES,48.31
36 FOIL STAR CAKE CASES ,29.4
36 PENCILS TUBE RED RETROSPOT,21.25
36 PENCILS TUBE SKULLS,7.5
36 PENCILS TUBE WOODLAND,22.5
3D CHRISTMAS STAMPS STICKERS ,12.5
3D DOG PICTURE PLAYING CARDS,2.95
3D HEARTS  HONEYCOMB PAPER GARLAND,11.82
3D SHEET OF CAT STICKERS,1.69
3D SHEET OF DOG STICKERS,1.69
3D TRADITIONAL CHRISTMAS STICKERS,30
4 IVORY DINNER CANDLES SILVER FLOCK,15.3
4 ROSE PINK DINNER CANDLES,15
4 SKY BLUE DINNER CANDLES,15
4 TRADITIONAL SPINNING TOPS,60.09
5 HOOK HANGER MAGIC TOADSTOOL,39.6
5 HOOK HANGER RED MAGIC TOADSTOOL,36.3
5 STRAND GLASS NECKLACE BLACK,12.7
5 STRAND GLASS NECKLACE CRYSTAL,38.1
6 CHOCOLATE LOVE HEART T-LIGHTS,136.38
6 EGG HOUSE PAINTED WOOD,16.13
6 RIBBONS ELEGANT CHRISTMAS ,129.21
6 RIBBONS EMPIRE  ,3.36
6 RIBBONS RUSTIC CHARM,124.35
6 RIBBONS SHIMMERING PINKS ,1.65
6 ROCKET BALLOONS ,1.3
60 CAKE CASES DOLLY GIRL DESIGN,6.22
60 CAKE CASES VINTAGE CHRISTMAS,112.54
60 TEATIME FAIRY CAKE CASES,108.69
72 SWEETHEART FAIRY CAKE CASES,55.36
A4 WALL TIDY BLUE OFFICE,2.98
ABSTRACT CIRCLE JOURNAL ,10.04
"ACRYLIC JEWEL ICICLE, PINK",3.36
ADVENT CALENDAR GINGHAM SACK,5.89
AGED GLASS SILVER T-LIGHT HOLDER,126
AIRLINE BAG VINTAGE JET SET BROWN,25.44
AIRLINE BAG VINTAGE JET SET RED,8.5
AIRLINE BAG VINTAGE JET SET WHITE,50.91
AIRLINE BAG VINTAGE TOKYO 78,72.13
AIRLINE BAG VINTAGE WORLD CHAMPION ,12.75
"AIRLINE LOUNGE,METAL SIGN",29.4
